q0,deltaQ0,wMu,firstmoment,secondmoment,thirdmoment,skewness
0.273,0.001,0.1579591836734694,0.276341,0.0764,0.021121,2.52426
0.273,0.001,0.16387755102040816,0.276588,0.0765,0.021181,2.540505
0.273,0.001,0.16979591836734695,0.276844,0.0767,0.021242,2.552957
0.273,0.001,0.1757142857142857,0.277107,0.0768,0.021307,2.562239
0.273,0.001,0.1816326530612245,0.277379,0.077,0.021373,2.568861
0.273,0.001,0.18755102040816327,0.277658,0.0771,0.021442,2.573244
0.273,0.001,0.19346938775510206,0.277946,0.0773,0.021513,2.575741
0.273,0.001,0.19938775510204082,0.278242,0.0775,0.021586,2.576648
0.273,0.001,0.20530612244897958,0.278546,0.0776,0.021662,2.576214
0.273,0.001,0.21122448979591837,0.278858,0.0778,0.021741,2.574647
0.273,0.001,0.21714285714285714,0.279178,0.078,0.021822,2.572124
0.273,0.001,0.22306122448979593,0.279506,0.0782,0.021905,2.568791
0.273,0.001,0.2289795918367347,0.279841,0.0784,0.021991,2.56477
0.273,0.001,0.23489795918367348,0.280184,0.0786,0.02208,2.560156
0.273,0.001,0.24081632653061225,0.280535,0.0788,0.022171,2.555023
0.273,0.001,0.24673469387755104,0.280893,0.079,0.022265,2.549423
0.273,0.001,0.25265306122448977,0.281259,0.0792,0.022361,2.543385
0.273,0.001,0.25857142857142856,0.281632,0.0795,0.02246,2.536922
0.273,0.001,0.26448979591836735,0.282013,0.0797,0.022562,2.530022
0.273,0.001,0.27040816326530615,0.282401,0.0799,0.022666,2.522659
0.273,0.001,0.2763265306122449,0.282797,0.0802,0.022773,2.51479
0.273,0.001,0.28224489795918367,0.283199,0.0804,0.022883,2.506361
0.273,0.001,0.28816326530612246,0.283609,0.0806,0.022996,2.497308
0.273,0.001,0.2940816326530612,0.284026,0.0809,0.023111,2.487561
0.273,0.001,0.3,0.28445,0.0812,0.023229,2.47705
0.274,0.001,0.01,0.273996,0.0751,0.02057,0.174423
0.274,0.001,0.015918367346938776,0.274012,0.0751,0.020574,0.221767
0.274,0.001,0.02183673469387755,0.274038,0.0751,0.02058,0.285608
0.274,0.001,0.027755102040816326,0.274072,0.0751,0.020588,0.355998
0.274,0.001,0.0336734693877551,0.274118,0.0751,0.020598,0.422706
0.274,0.001,0.03959183673469388,0.274175,0.0752,0.020611,0.483307
0.274,0.001,0.04551020408163265,0.274243,0.0752,0.020626,0.548745
0.274,0.001,0.05142857142857143,0.274321,0.0753,0.020644,0.636098
0.274,0.001,0.057346938775510205,0.27441,0.0753,0.020664,0.757033
0.274,0.001,0.06326530612244897,0.274508,0.0754,0.020687,0.912197
0.274,0.001,0.06918367346938775,0.274616,0.0754,0.020711,1.092559
0.274,0.001,0.07510204081632653,0.274733,0.0755,0.020738,1.284374
0.274,0.001,0.08102040816326529,0.274859,0.0755,0.020767,1.474205
0.274,0.001,0.08693877551020407,0.274994,0.0756,0.020798,1.651961
0.274,0.001,0.09285714285714285,0.275138,0.0757,0.020831,1.811694
0.274,0.001,0.09877551020408162,0.275292,0.0758,0.020867,1.950978
0.274,0.001,0.1046938775510204,0.275454,0.0759,0.020904,2.06979
0.274,0.001,0.11061224489795918,0.275625,0.076,0.020944,2.169499
0.274,0.001,0.11653061224489795,0.275805,0.0761,0.020986,2.252123
0.274,0.001,0.12244897959183673,0.275994,0.0762,0.021031,2.319884
0.274,0.001,0.12836734693877552,0.276192,0.0763,0.021077,2.374959
0.274,0.001,0.13428571428571429,0.276399,0.0764,0.021126,2.419352
0.274,0.001,0.14020408163265308,0.276614,0.0765,0.021177,2.454844
0.274,0.001,0.14612244897959184,0.276838,0.0767,0.021231,2.482976
0.274,0.001,0.1520408163265306,0.27707,0.0768,0.021287,2.50506
0.274,0.001,0.1579591836734694,0.277311,0.0769,0.021345,2.522192
0.274,0.001,0.16387755102040816,0.277561,0.0771,0.021405,2.535278
0.274,0.001,0.16979591836734695,0.277818,0.0772,0.021468,2.545062
0.274,0.001,0.1757142857142857,0.278085,0.0774,0.021533,2.552146
0.274,0.001,0.1816326530612245,0.278359,0.0775,0.021601,2.557017
0.274,0.001,0.18755102040816327,0.278641,0.0777,0.02167,2.560067
0.274,0.001,0.19346938775510206,0.278932,0.0779,0.021743,2.561609
0.274,0.001,0.19938775510204082,0.27923,0.078,0.021817,2.561898
0.274,0.001,0.20530612244897958,0.279536,0.0782,0.021894,2.561136
0.274,0.001,0.21122448979591837,0.279851,0.0784,0.021974,2.559489
0.274,0.001,0.21714285714285714,0.280173,0.0786,0.022056,2.557088
0.274,0.001,0.22306122448979593,0.280502,0.0788,0.022141,2.554041
0.274,0.001,0.2289795918367347,0.28084,0.079,0.022228,2.55043
0.274,0.001,0.23489795918367348,0.281185,0.0792,0.022317,2.546318
0.274,0.001,0.24081632653061225,0.281537,0.0794,0.02241,2.54175
0.274,0.001,0.24673469387755104,0.281898,0.0796,0.022505,2.53675
0.274,0.001,0.25265306122448977,0.282265,0.0798,0.022602,2.531325
0.274,0.001,0.25857142857142856,0.28264,0.08,0.022702,2.525465
0.274,0.001,0.26448979591836735,0.283022,0.0803,0.022805,2.519141
0.274,0.001,0.27040816326530615,0.283412,0.0805,0.022911,2.51231
0.274,0.001,0.2763265306122449,0.283809,0.0807,0.023019,2.504917
0.274,0.001,0.28224489795918367,0.284213,0.081,0.02313,2.496894
0.274,0.001,0.28816326530612246,0.284624,0.0812,0.023244,2.48817
0.274,0.001,0.2940816326530612,0.285042,0.0815,0.02336,2.478668
0.274,0.001,0.3,0.285467,0.0817,0.023479,2.468315
0.275,0.001,0.01,0.275013,0.0756,0.020801,-0.016809
0.275,0.001,0.015918367346938776,0.275039,0.0756,0.020807,-0.048699
0.275,0.001,0.02183673469387755,0.275075,0.0757,0.020815,-0.092666
0.275,0.001,0.027755102040816326,0.275122,0.0757,0.020826,-0.140216
0.275,0.001,0.0336734693877551,0.275178,0.0757,0.020838,-0.176053
0.275,0.001,0.03959183673469388,0.275241,0.0758,0.020853,-0.1794
0.275,0.001,0.04551020408163265,0.275312,0.0758,0.020869,-0.130702
0.275,0.001,0.05142857142857143,0.275391,0.0758,0.020887,-0.01808
0.275,0.001,0.057346938775510205,0.275479,0.0759,0.020907,0.159135
0.275,0.001,0.06326530612244897,0.275576,0.0759,0.020929,0.38972
